year,round,position,driver_id,q1,q2,q3
2021,6,9,fernando_alonso,1:42.934,1:42.195,1:42.327
2021,6,10,valtteri_bottas,1:42.701,1:42.106,1:42.659
2021,6,11,sebastian_vettel,1:42.460,1:42.224,
2021,6,12,esteban_ocon,1:42.426,1:42.273,
2021,6,13,daniel_ricciardo,1:42.304,1:42.558,
2021,6,14,kimi_raikkonen,1:42.923,1:42.587,
2021,6,15,george_russell,1:42.728,1:42.758,
2021,6,16,nicholas_latifi,1:43.128,,
2021,6,17,mick_schumacher,1:44.158,,
2021,6,18,nikita_mazepin,1:44.238,,
2021,7,1,max_verstappen,1:31.001,1:31.080,1:29.990
2021,7,2,lewis_hamilton,1:31.237,1:30.788,1:30.248
2021,7,3,valtteri_bottas,1:31.669,1:30.735,1:30.376
2021,7,4,sergio_perez,1:31.560,1:30.971,1:30.445
2021,7,5,carlos_sainz,1:32.079,1:31.146,1:30.840
2021,7,6,pierre_gasly,1:31.898,1:31.353,1:30.868
2021,7,7,charles_leclerc,1:32.209,1:31.567,1:30.987
2021,7,8,lando_norris,1:31.733,1:31.542,1:31.252
2021,7,9,fernando_alonso,1:32.158,1:31.549,1:31.340
2021,7,10,daniel_ricciardo,1:32.181,1:31.615,1:31.382
2021,7,11,esteban_ocon,1:32.139,1:31.736,
2021,7,12,sebastian_vettel,1:32.132,1:31.767,
2021,7,13,antonio_giovinazzi,1:32.722,1:31.813,
2021,7,14,george_russell,1:33.060,1:32.065,
2021,7,15,mick_schumacher,1:32.942,,
2021,7,16,nicholas_latifi,1:33.062,,
2021,7,17,kimi_raikkonen,1:33.354,,
2021,7,18,nikita_mazepin,1:33.554,,
2021,8,1,max_verstappen,1:04.489,1:04.433,1:03.841
2021,8,2,valtteri_bottas,1:04.537,1:04.443,1:04.035
2021,8,3,lewis_hamilton,1:04.672,1:04.512,1:04.067
2021,8,4,lando_norris,1:04.584,1:04.298,1:04.120
2021,8,5,sergio_perez,1:04.638,1:04.197,1:04.168
2021,8,6,pierre_gasly,1:04.765,1:04.429,1:04.236
2021,8,7,charles_leclerc,1:04.745,1:04.646,1:04.472
2021,8,8,yuki_tsunoda,1:04.608,1:04.631,1:04.514
2021,8,9,fernando_alonso,1:04.971,1:04.582,1:04.574
2021,8,10,lance_stroll,1:04.821,1:04.663,1:04.708
2021,8,11,george_russell,1:05.033,1:04.671,
2021,8,12,carlos_sainz,1:04.859,1:04.800,
2021,8,13,daniel_ricciardo,1:05.142,1:04.808,
2021,8,14,sebastian_vettel,1:05.051,1:04.875,
2021,8,15,antonio_giovinazzi,1:05.092,1:04.913,
2021,8,16,nicholas_latifi,1:05.175,,
2021,8,17,esteban_ocon,1:05.217,,
2021,8,18,kimi_raikkonen,1:05.429,,
2021,8,19,mick_schumacher,1:06.041,,
2021,8,20,nikita_mazepin,1:06.192,,
2021,9,1,max_verstappen,1:04.249,1:03.927,1:03.720
2021,9,2,lando_norris,1:04.345,1:04.415,1:03.768
2021,9,3,sergio_perez,1:04.833,1:04.483,1:03.990
2021,9,4,lewis_hamilton,1:04.506,1:04.258,1:04.014
2021,9,5,valtteri_bottas,1:04.563,1:04.376,1:04.049
2021,9,6,pierre_gasly,1:04.841,1:04.412,1:04.107
2021,9,7,yuki_tsunoda,1:04.967,1:04.518,1:04.273
2021,9,8,sebastian_vettel,1:04.846,1:04.493,1:04.570
2021,9,9,george_russell,1:04.907,1:04.553,1:04.591
2021,9,10,lance_stroll,1:04.927,1:04.547,1:04.618
2021,9,11,carlos_sainz,1:04.596,1:04.559,
2021,9,12,charles_leclerc,1:04.906,1:04.600,
2021,9,13,daniel_ricciardo,1:04.977,1:04.719,
2021,9,14,fernando_alonso,1:04.472,1:04.856,
2021,9,15,antonio_giovinazzi,1:04.782,1:05.083,
2021,9,16,kimi_raikkonen,1:05.009,,
2021,9,17,esteban_ocon,1:05.051,,
2021,9,18,nicholas_latifi,1:05.195,,
2021,9,19,mick_schumacher,1:05.427,,
2021,9,20,nikita_mazepin,1:05.951,,
2021,10,1,lewis_hamilton,1:26.786,1:26.023,1:26.134
2021,10,2,max_verstappen,1:26.751,1:26.315,1:26.209
2021,10,3,valtteri_bottas,1:27.487,1:26.764,1:26.328
2021,10,4,charles_leclerc,1:27.051,1:26.919,1:26.828
2021,10,5,sergio_perez,1:27.121,1:27.073,1:26.844
2021,10,6,lando_norris,1:27.444,1:27.220,1:26.897
2021,10,7,daniel_ricciardo,1:27.323,1:27.125,1:26.899
2021,10,8,george_russell,1:27.671,1:27.080,1:26.971
2021,10,9,carlos_sainz,1:27.337,1:26.848,1:27.007
