year,round,lap,driver_id,lap_time,gap_to_leader
2021,1,7,esteban_ocon,1:37.991,16.442
2021,1,7,sebastian_vettel,1:37.964,18.084
2021,1,7,sergio_perez,1:37.891,18.460
2021,1,7,yuki_tsunoda,1:37.329,20.114
2021,1,7,george_russell,1:39.318,21.584
2021,1,7,nicholas_latifi,1:38.390,23.598
2021,1,7,mick_schumacher,1:39.134,31.351
2021,1,7,pierre_gasly,1:36.954,51.999
2021,1,8,max_verstappen,1:36.032,0.0
2021,1,8,lewis_hamilton,1:36.075,1.804
2021,1,8,valtteri_bottas,1:36.022,5.092
2021,1,8,charles_leclerc,1:37.886,8.503
2021,1,8,lando_norris,1:37.724,9.001
2021,1,8,daniel_ricciardo,1:37.639,10.015
2021,1,8,fernando_alonso,1:38.006,11.434
2021,1,8,lance_stroll,1:37.700,11.831
2021,1,8,carlos_sainz,1:37.829,12.705
2021,1,8,antonio_giovinazzi,1:37.972,16.555
2021,1,8,kimi_raikkonen,1:38.015,17.466
2021,1,8,esteban_ocon,1:38.234,18.644
2021,1,8,sergio_perez,1:37.134,19.562
2021,1,8,sebastian_vettel,1:38.935,20.987
2021,1,8,yuki_tsunoda,1:37.491,21.573
2021,1,8,george_russell,1:38.317,23.869
2021,1,8,nicholas_latifi,1:38.518,26.084
2021,1,8,mick_schumacher,1:39.272,34.591
2021,1,8,pierre_gasly,1:37.424,53.391
2021,1,9,max_verstappen,1:36.012,0.0
2021,1,9,lewis_hamilton,1:36.148,1.940
2021,1,9,valtteri_bottas,1:37.086,6.166
2021,1,9,lando_norris,1:37.360,10.349
2021,1,9,charles_leclerc,1:38.667,11.158
2021,1,9,daniel_ricciardo,1:37.858,11.861
2021,1,9,lance_stroll,1:37.797,13.616
2021,1,9,fernando_alonso,1:39.062,14.484
2021,1,9,carlos_sainz,1:38.396,15.089
2021,1,9,antonio_giovinazzi,1:38.008,18.551
2021,1,9,kimi_raikkonen,1:37.993,19.447
2021,1,9,esteban_ocon,1:37.866,20.498
2021,1,9,sergio_perez,1:37.381,20.931
2021,1,9,yuki_tsunoda,1:37.907,23.468
2021,1,9,sebastian_vettel,1:39.358,24.333
2021,1,9,george_russell,1:38.415,26.272
2021,1,9,nicholas_latifi,1:38.784,28.856
2021,1,9,mick_schumacher,1:39.164,37.743
2021,1,9,pierre_gasly,1:37.030,54.409
2021,1,10,max_verstappen,1:36.175,0.0
2021,1,10,lewis_hamilton,1:36.082,1.847
2021,1,10,valtteri_bottas,1:36.405,6.396
2021,1,10,lando_norris,1:37.523,11.697
2021,1,10,charles_leclerc,1:37.518,12.501
2021,1,10,daniel_ricciardo,1:37.782,13.468
2021,1,10,lance_stroll,1:37.614,15.055
2021,1,10,fernando_alonso,1:37.758,16.067
2021,1,10,carlos_sainz,1:38.012,16.926
2021,1,10,antonio_giovinazzi,1:37.846,20.222
2021,1,10,kimi_raikkonen,1:37.622,20.894
2021,1,10,sergio_perez,1:36.788,21.544
2021,1,10,esteban_ocon,1:38.818,23.141
2021,1,10,yuki_tsunoda,1:37.738,25.031
2021,1,10,sebastian_vettel,1:38.100,26.258
2021,1,10,george_russell,1:38.386,28.483
2021,1,10,nicholas_latifi,1:38.027,30.708
2021,1,10,mick_schumacher,1:38.955,40.523
2021,1,10,pierre_gasly,1:37.375,55.609
2021,1,11,max_verstappen,1:36.179,0.0
2021,1,11,lewis_hamilton,1:36.143,1.811
2021,1,11,valtteri_bottas,1:36.384,6.601
2021,1,11,lando_norris,1:37.162,12.680
2021,1,11,charles_leclerc,1:37.729,14.051
2021,1,11,daniel_ricciardo,1:37.314,14.603
2021,1,11,lance_stroll,1:37.536,16.412
2021,1,11,carlos_sainz,1:37.562,18.309
2021,1,11,fernando_alonso,1:40.308,PIT
2021,1,11,antonio_giovinazzi,1:37.765,21.808
2021,1,11,kimi_raikkonen,1:38.086,22.801
2021,1,11,sergio_perez,1:37.837,23.202
2021,1,11,esteban_ocon,1:37.945,24.907
2021,1,11,yuki_tsunoda,1:37.593,26.445
2021,1,11,sebastian_vettel,1:38.184,28.263
2021,1,11,george_russell,1:38.471,30.775
2021,1,11,nicholas_latifi,1:38.280,32.809
2021,1,11,mick_schumacher,1:39.180,43.524
2021,1,11,pierre_gasly,1:37.517,56.947
2021,1,12,max_verstappen,1:36.592,0.0
2021,1,12,lewis_hamilton,1:36.507,1.726
2021,1,12,valtteri_bottas,1:36.460,6.469
2021,1,12,daniel_ricciardo,1:38.454,16.465
2021,1,12,lando_norris,1:40.425,PIT
2021,1,12,charles_leclerc,1:40.477,PIT
2021,1,12,carlos_sainz,1:37.716,19.433
2021,1,12,lance_stroll,1:40.751,PIT
2021,1,12,kimi_raikkonen,1:37.783,23.992
2021,1,12,sergio_perez,1:37.988,24.598
2021,1,12,antonio_giovinazzi,1:40.892,PIT
2021,1,12,esteban_ocon,1:38.201,26.516
2021,1,12,yuki_tsunoda,1:37.947,27.800
2021,1,12,sebastian_vettel,1:38.169,29.840
2021,1,12,george_russell,1:38.719,32.902
2021,1,12,nicholas_latifi,1:38.781,34.998
2021,1,12,fernando_alonso,1:56.122,39.726
2021,1,12,mick_schumacher,1:39.979,46.911
2021,1,12,pierre_gasly,1:38.054,58.409
2021,1,13,max_verstappen,1:36.291,0.0
2021,1,13,lewis_hamilton,1:38.924,PIT
2021,1,13,valtteri_bottas,1:36.423,6.601
2021,1,13,daniel_ricciardo,1:40.195,PIT
2021,1,13,carlos_sainz,1:37.660,20.802
2021,1,13,sergio_perez,1:36.949,25.256
2021,1,13,kimi_raikkonen,1:39.710,PIT
2021,1,13,yuki_tsunoda,1:37.882,29.391
2021,1,13,esteban_ocon,1:40.503,PIT
2021,1,13,sebastian_vettel,1:38.050,31.599
2021,1,13,nicholas_latifi,1:38.526,37.233
2021,1,13,george_russell,1:40.821,PIT
2021,1,13,lando_norris,1:57.417,37.639
2021,1,13,charles_leclerc,1:56.773,38.418
2021,1,13,fernando_alonso,1:36.844,40.279
2021,1,13,lance_stroll,1:56.840,41.120
2021,1,13,mick_schumacher,1:39.685,50.305
2021,1,13,antonio_giovinazzi,2:05.351,55.168
2021,1,13,pierre_gasly,1:37.874,59.992
2021,1,14,max_verstappen,1:36.880,0.0
2021,1,14,valtteri_bottas,1:36.736,6.457
2021,1,14,carlos_sainz,1:37.591,21.513
2021,1,14,lewis_hamilton,1:55.006,22.485
2021,1,14,sergio_perez,1:36.870,25.246
2021,1,14,yuki_tsunoda,1:37.923,30.434
2021,1,14,sebastian_vettel,1:38.011,32.730
